sketch,d,w8,w16,w32,tamano,mae,mre
TS,3,500,500,200,6900,5280.27,4316.64
TS,3,500,500,500,10500,5280.27,4316.64
TS,3,500,500,1000,16500,5280.27,4316.64
TS,3,500,500,2000,28500,5280.27,4316.64
TS,3,500,500,5000,64500,5280.27,4316.64
TS,3,500,1000,200,9900,2637.69,2157.07
TS,3,500,1000,500,13500,2637.69,2157.07
TS,3,500,1000,1000,19500,2637.69,2157.07
TS,3,500,1000,2000,31500,2637.69,2157.07
TS,3,500,1000,5000,67500,2637.69,2157.07
TS,3,500,2000,200,15900,1316.88,1077.68
TS,3,500,2000,500,19500,1316.88,1077.68
TS,3,500,2000,1000,25500,1316.88,1077.68
TS,3,500,2000,2000,37500,1316.88,1077.68
TS,3,500,2000,5000,73500,1316.88,1077.68
TS,3,500,5000,200,33900,524.491,430.12
TS,3,500,5000,500,37500,524.491,430.12
TS,3,500,5000,1000,43500,524.491,430.12
TS,3,500,5000,2000,55500,524.491,430.12
TS,3,500,5000,5000,91500,524.491,430.12
TS,3,500,10000,200,63900,260.515,214.393
TS,3,500,10000,500,67500,260.515,214.393
TS,3,500,10000,1000,73500,260.515,214.393
TS,3,500,10000,2000,85500,260.515,214.393
TS,3,500,10000,5000,121500,260.515,214.393
TS,3,10000,500,200,35400,435.319,357.247
TS,3,10000,500,500,39000,435.319,357.247
TS,3,10000,500,1000,45000,435.319,357.247
TS,3,10000,500,2000,57000,435.319,357.247
TS,3,10000,500,5000,93000,435.319,357.247
TS,3,10000,1000,200,38400,215.834,177.879
TS,3,10000,1000,500,42000,215.834,177.879
TS,3,10000,1000,1000,48000,215.834,177.879
TS,3,10000,1000,2000,60000,215.834,177.879
TS,3,10000,1000,5000,96000,215.834,177.879
TS,3,10000,2000,200,44400,105.861,88.0063
TS,3,10000,2000,500,48000,105.861,88.0063
TS,3,10000,2000,1000,54000,105.861,88.0063
TS,3,10000,2000,2000,66000,105.861,88.0063
TS,3,10000,2000,5000,102000,105.861,88.0063
TS,3,10000,5000,200,62400,40.1734,34.3229
TS,3,10000,5000,500,66000,40.1734,34.3229
TS,3,10000,5000,1000,72000,40.1734,34.3229
TS,3,10000,5000,2000,84000,40.1734,34.3229
TS,3,10000,5000,5000,120000,40.1734,34.3229
TS,3,10000,10000,200,92400,18.2549,16.4009
TS,3,10000,10000,500,96000,18.2549,16.4009
TS,3,10000,10000,1000,102000,18.2549,16.4009
TS,3,10000,10000,2000,114000,18.2549,16.4009
TS,3,10000,10000,5000,150000,18.2549,16.4009
TS,3,20000,500,200,65400,134.818,111.67
TS,3,20000,500,500,69000,134.818,111.67
TS,3,20000,500,1000,75000,134.818,111.67
TS,3,20000,500,2000,87000,134.818,111.67
TS,3,20000,500,5000,123000,134.818,111.67
TS,3,20000,1000,200,68400,134.818,111.67
TS,3,20000,1000,500,72000,134.818,111.67
TS,3,20000,1000,1000,78000,134.818,111.67
TS,3,20000,1000,2000,90000,134.818,111.67
TS,3,20000,1000,5000,126000,134.818,111.67
TS,3,20000,2000,200,74400,134.818,111.67
TS,3,20000,2000,500,78000,134.818,111.67
TS,3,20000,2000,1000,84000,134.818,111.67
TS,3,20000,2000,2000,96000,134.818,111.67
TS,3,20000,2000,5000,132000,134.818,111.67
TS,3,20000,5000,200,92400,134.818,111.67
TS,3,20000,5000,500,96000,134.818,111.67
TS,3,20000,5000,1000,102000,134.818,111.67
TS,3,20000,5000,2000,114000,134.818,111.67
TS,3,20000,5000,5000,150000,134.818,111.67
TS,3,20000,10000,200,122400,134.818,111.67
TS,3,20000,10000,500,126000,134.818,111.67
TS,3,20000,10000,1000,132000,134.818,111.67
TS,3,20000,10000,2000,144000,134.818,111.67
TS,3,20000,10000,5000,180000,134.818,111.67
TS,5,500,500,200,11500,43378.6,35451.4
TS,5,500,500,500,17500,4260.64,3483.37
TS,5,500,500,1000,27500,4260.64,3483.37
TS,5,500,500,2000,47500,4260.64,3483.37
TS,5,500,500,5000,107500,4260.64,3483.37
TS,5,500,1000,200,16500,2128.36,1740.83
TS,5,500,1000,500,22500,2128.36,1740.83
TS,5,500,1000,1000,32500,2128.36,1740.83
TS,5,500,1000,2000,52500,2128.36,1740.83
TS,5,500,1000,5000,112500,2128.36,1740.83
TS,5,500,2000,200,26500,1062.1,869.461
TS,5,500,2000,500,32500,1062.1,869.461
TS,5,500,2000,1000,42500,1062.1,869.461
TS,5,500,2000,2000,62500,1062.1,869.461
TS,5,500,2000,5000,122500,1062.1,869.461
TS,5,500,5000,200,56500,422.494,346.765
TS,5,500,5000,500,62500,422.494,346.765
TS,5,500,5000,1000,72500,422.494,346.765
TS,5,500,5000,2000,92500,422.494,346.765
TS,5,500,5000,5000,152500,422.494,346.765
TS,5,500,10000,200,106500,209.479,172.685
TS,5,500,10000,500,112500,209.479,172.685
TS,5,500,10000,1000,122500,209.479,172.685
TS,5,500,10000,2000,142500,209.479,172.685
TS,5,500,10000,5000,202500,209.479,172.685
TS,5,10000,500,200,59000,222.106,183.004
TS,5,10000,500,500,65000,222.106,183.004
TS,5,10000,500,1000,75000,222.106,183.004
TS,5,10000,500,2000,95000,222.106,183.004
TS,5,10000,500,5000,155000,222.106,183.004
TS,5,10000,1000,200,64000,222.106,183.004
TS,5,10000,1000,500,70000,222.106,183.004
TS,5,10000,1000,1000,80000,222.106,183.004
TS,5,10000,1000,2000,100000,222.106,183.004
TS,5,10000,1000,5000,160000,222.106,183.004
TS,5,10000,2000,200,74000,222.106,183.004
TS,5,10000,2000,500,80000,222.106,183.004
TS,5,10000,2000,1000,90000,222.106,183.004
TS,5,10000,2000,2000,110000,222.106,183.004
TS,5,10000,2000,5000,170000,222.106,183.004
TS,5,10000,5000,200,104000,222.106,183.004
TS,5,10000,5000,500,110000,222.106,183.004
TS,5,10000,5000,1000,120000,222.106,183.004
TS,5,10000,5000,2000,140000,222.106,183.004
TS,5,10000,5000,5000,200000,222.106,183.004
TS,5,10000,10000,200,154000,222.106,183.004
TS,5,10000,10000,500,160000,222.106,183.004
TS,5,10000,10000,1000,170000,222.106,183.004
TS,5,10000,10000,2000,190000,222.106,183.004
TS,5,10000,10000,5000,250000,222.106,183.004
TS,5,20000,500,200,109000,109.276,90.7964
TS,5,20000,500,500,115000,109.276,90.7964
TS,5,20000,500,1000,125000,109.276,90.7964
TS,5,20000,500,2000,145000,109.276,90.7964
TS,5,20000,500,5000,205000,109.276,90.7964
TS,5,20000,1000,200,114000,109.276,90.7964
TS,5,20000,1000,500,120000,109.276,90.7964
TS,5,20000,1000,1000,130000,109.276,90.7964
TS,5,20000,1000,2000,150000,109.276,90.7964
TS,5,20000,1000,5000,210000,109.276,90.7964
TS,5,20000,2000,200,124000,109.276,90.7964
TS,5,20000,2000,500,130000,109.276,90.7964
TS,5,20000,2000,1000,140000,109.276,90.7964
TS,5,20000,2000,2000,160000,109.276,90.7964
TS,5,20000,2000,5000,220000,109.276,90.7964
TS,5,20000,5000,200,154000,109.276,90.7964
TS,5,20000,5000,500,160000,109.276,90.7964
TS,5,20000,5000,1000,170000,109.276,90.7964
