sketch,d,w8,w16,w32,tamano,mae,mre
TS,5,20000,5000,2000,190000,109.276,90.7964
TS,5,20000,5000,5000,250000,109.276,90.7964
TS,5,20000,10000,200,204000,109.276,90.7964
TS,5,20000,10000,500,210000,109.276,90.7964
TS,5,20000,10000,1000,220000,109.276,90.7964
TS,5,20000,10000,2000,240000,109.276,90.7964
TS,5,20000,10000,5000,300000,109.276,90.7964
TS,7,500,500,200,16100,3760.76,3074.87
TS,7,500,500,500,24500,3760.76,3074.87
TS,7,500,500,1000,38500,3760.76,3074.87
TS,7,500,500,2000,66500,3760.76,3074.87
TS,7,500,500,5000,150500,3760.76,3074.87
TS,7,500,1000,200,23100,1878.36,1536.53
TS,7,500,1000,500,31500,1878.36,1536.53
TS,7,500,1000,1000,45500,1878.36,1536.53
TS,7,500,1000,2000,73500,1878.36,1536.53
TS,7,500,1000,5000,157500,1878.36,1536.53
TS,7,500,2000,200,37100,936.792,767.06
TS,7,500,2000,500,45500,936.792,767.06
TS,7,500,2000,1000,59500,936.792,767.06
TS,7,500,2000,2000,87500,936.792,767.06
TS,7,500,2000,5000,171500,936.792,767.06
TS,7,500,5000,200,79100,372.608,305.998
TS,7,500,5000,500,87500,372.608,305.998
TS,7,500,5000,1000,101500,372.608,305.998
TS,7,500,5000,2000,129500,372.608,305.998
TS,7,500,5000,5000,213500,372.608,305.998
TS,7,500,10000,200,149100,184.462,152.241
TS,7,500,10000,500,157500,184.462,152.241
TS,7,500,10000,1000,171500,184.462,152.241
TS,7,500,10000,2000,199500,184.462,152.241
TS,7,500,10000,5000,283500,184.462,152.241
TS,7,10000,500,200,82600,197.251,162.692
TS,7,10000,500,500,91000,197.251,162.692
TS,7,10000,500,1000,105000,197.251,162.692
TS,7,10000,500,2000,133000,197.251,162.692
TS,7,10000,500,5000,217000,197.251,162.692
TS,7,10000,1000,200,89600,197.251,162.692
TS,7,10000,1000,500,98000,197.251,162.692
TS,7,10000,1000,1000,112000,197.251,162.692
TS,7,10000,1000,2000,140000,197.251,162.692
TS,7,10000,1000,5000,224000,197.251,162.692
TS,7,10000,2000,200,103600,197.251,162.692
TS,7,10000,2000,500,112000,197.251,162.692
TS,7,10000,2000,1000,126000,197.251,162.692
TS,7,10000,2000,2000,154000,197.251,162.692
TS,7,10000,2000,5000,238000,197.251,162.692
TS,7,10000,5000,200,145600,197.251,162.692
TS,7,10000,5000,500,154000,197.251,162.692
TS,7,10000,5000,1000,168000,197.251,162.692
TS,7,10000,5000,2000,196000,197.251,162.692
TS,7,10000,5000,5000,280000,197.251,162.692
TS,7,10000,10000,200,215600,197.251,162.692
TS,7,10000,10000,500,224000,197.251,162.692
TS,7,10000,10000,1000,238000,197.251,162.692
TS,7,10000,10000,2000,266000,197.251,162.692
TS,7,10000,10000,5000,350000,197.251,162.692
TS,7,20000,500,200,152600,96.7889,80.5913
TS,7,20000,500,500,161000,96.7889,80.5913
TS,7,20000,500,1000,175000,96.7889,80.5913
TS,7,20000,500,2000,203000,96.7889,80.5913
TS,7,20000,500,5000,287000,96.7889,80.5913
TS,7,20000,1000,200,159600,96.7889,80.5913
TS,7,20000,1000,500,168000,96.7889,80.5913
TS,7,20000,1000,1000,182000,96.7889,80.5913
TS,7,20000,1000,2000,210000,96.7889,80.5913
TS,7,20000,1000,5000,294000,96.7889,80.5913
TS,7,20000,2000,200,173600,96.7889,80.5913
TS,7,20000,2000,500,182000,96.7889,80.5913
TS,7,20000,2000,1000,196000,96.7889,80.5913
TS,7,20000,2000,2000,224000,96.7889,80.5913
TS,7,20000,2000,5000,308000,96.7889,80.5913
TS,7,20000,5000,200,215600,96.7889,80.5913
TS,7,20000,5000,500,224000,96.7889,80.5913
TS,7,20000,5000,1000,238000,96.7889,80.5913
TS,7,20000,5000,2000,266000,96.7889,80.5913
TS,7,20000,5000,5000,350000,96.7889,80.5913
TS,7,20000,10000,200,285600,96.7889,80.5913
TS,7,20000,10000,500,294000,96.7889,80.5913
TS,7,20000,10000,1000,308000,96.7889,80.5913
TS,7,20000,10000,2000,336000,96.7889,80.5913
TS,7,20000,10000,5000,420000,96.7889,80.5913
TS,3,25000,20000,10000,315000,107.145,89.0542
TS,3,25000,20000,15000,375000,107.145,89.0542
TS,3,25000,25000,10000,345000,107.145,89.0542
TS,3,25000,25000,15000,405000,107.145,89.0542
TS,3,30000,20000,10000,330000,88.6802,73.9637
TS,3,30000,20000,15000,390000,88.6802,73.9637
TS,3,30000,25000,10000,360000,88.6802,73.9637
TS,3,30000,25000,15000,420000,88.6802,73.9637
TS,5,25000,20000,10000,525000,86.6648,72.3172
TS,5,25000,20000,15000,625000,86.6648,72.3172
TS,5,25000,25000,10000,575000,86.6648,72.3172
TS,5,25000,25000,15000,675000,86.6648,72.3172
TS,5,30000,20000,10000,550000,71.6431,60.0407
TS,5,30000,20000,15000,650000,71.6431,60.0407
TS,5,30000,25000,10000,600000,71.6431,60.0407
TS,5,30000,25000,15000,700000,71.6431,60.0407
TS,7,25000,20000,10000,735000,76.6666,64.1464
TS,7,25000,20000,15000,875000,76.6666,64.1464
TS,7,25000,25000,10000,805000,76.6666,64.1464
TS,7,25000,25000,15000,945000,76.6666,64.1464
TS,7,30000,20000,10000,770000,63.3,53.2224
TS,7,30000,20000,15000,910000,63.3,53.2224
TS,7,30000,25000,10000,840000,63.3,53.2224
TS,7,30000,25000,15000,980000,63.3,53.2224
TS,3,55000,20000,10000,405000,631.558,517.616
TS,5,55000,20000,10000,675000,37.4328,32.0803
TS,7,55000,20000,10000,945000,32.8758,28.3556
TS,3,70000,10000,5000,330000,884.182,724.066
TS,5,70000,10000,5000,550000,28.6572,24.9061
TS,7,70000,10000,5000,770000,25.0748,21.9769
TS,3,70000,15000,10000,420000,588.305,482.269
TS,5,70000,15000,10000,700000,28.6572,24.9061
TS,7,70000,15000,10000,980000,25.0748,21.9769
TS,3,75000,14000,7000,393000,539.506,444.597
TS,5,75000,14000,7000,655000,26.5578,23.2766
TS,7,75000,14000,7000,917000,23.2226,20.536
TS,3,100000,10000,5000,420000,118.87,99.1045
TS,5,100000,10000,5000,700000,19.0593,17.1132
TS,7,100000,10000,5000,980000,16.5565,15.0548
