sketch,d,w,tamano,mae,mre
CS,3,1000,12000,238.944,196.244
CS,3,2000,24000,28.7229,23.351
CS,3,5000,60000,18.5703,14.8992
CS,3,10000,120000,13.3899,10.5004
CS,3,20000,240000,9.90348,7.47688
CS,3,35000,420000,7.87012,5.66144
CS,5,1000,20000,31.9319,26.0193
CS,5,2000,40000,23.0456,18.6301
CS,5,5000,100000,15.0784,11.9489
CS,5,10000,200000,11.0204,8.45482
CS,5,20000,400000,8.27867,6.03216
CS,5,35000,700000,6.68658,4.58353
CS,7,1000,28000,27.4907,22.3335
CS,7,2000,56000,19.7524,15.8759
CS,7,5000,140000,13.1052,10.2625
CS,7,10000,280000,9.66231,7.26423
CS,7,20000,560000,7.34282,5.18494
CS,7,35000,980000,6.0128,3.96118
